TreeID,Date,D60,DBH1,DBH2,DBH3,Point1,Point2,Point3,Point4,Point5,Pix.mm,ASPECT,NOTES, Coppice
QGAM002,5/22/2011,42.2,40.3,,,22.75,23.76,22.32,30.99,39.71,15.4,130,,
QGAM003,5/22/2011,46.2,44.3,,,14.59,23.87,21.04,19.47,19.04,15.4,210,Oval Bole,
QGAM004,5/22/2011,22,21.1,,,10.07,9.16,10.21,10.37,5.19,15.4,175,,
QGAM005,5/22/2011,16.3,16.2,,,12.58,9.11,10.2,10.04,9.4,15.4,22,,
QGAM006,5/22/2011,10.5,9.5,,,6.9,3.65,11.62,10.68,12.01,15.4,200,,
QGAM008,5/22/2011,6.7,7,,,4.54,6.53,3.72,4.17,3.83,15.4,80,,
QGAM009,5/22/2011,8.8,8.9,,,6.07,5.12,1.98,9.5,6.78,15.4,180,,
QGAM010,5/22/2011,11.5,11,,,7.45,7.68,8.75,8.07,8.01,15.4,90,bark very flaky/platey,
QGAM012,10/8/2011,11,10.7,,,7.17,8.8,12.24,7.34,10.89,11.5,200,,
QGAM013,10/8/2011,20.9,18.7,,,10.37,10.34,12.51,11.5,8.07,11.8,240,,
QGAM014,10/8/2011,18.8,17.4,,,9.64,12.6,13.43,12.15,13.41,11.8,30,,
QGAM015,10/8/2011,35,34.2,,,5.8,6.49,7.29,6.58,6.03,11.8,175,,
QGAM016,10/8/2011,41.4,39.1,,,17.3,21.57,18.64,20.22,21.7,11.8,260,,
QGAM017,10/8/2011,23.6,21.7,,,13.36,10.25,19.22,14.04,13.6,11.8,84,,
QGAM018,10/8/2011,7.7,6.9,,,3.62,3.4,4.11,3.82,3.9,11.8,2,,
QGAM019,10/8/2011,14.5,15.1,,,10.72,6.79,6.16,6.29,4.89,11.8,135,TRIANGULARLY SHAPED,
QGAM020,10/8/2011,30.2,31,,,17.95,9.07,15.66,10.28,13.99,11.8,90,,
QGAM021,10/8/2011,25.6,24.2,,,8.19,8.7,11.3,8.66,14.38,11.8,10,,
QGAM022,10/8/2011,15,14.5,,,10.33,12.43,10.18,11.33,10.86,11.8,310,,
QGAM023,10/8/2011,28.4,26,,,20.47,24.47,8.65,25.2,16.15,11.8,160,,
QGAM024,10/8/2011,30.2,21.2,,,25.9,16.05,14.86,14.27,20.62,11.8,180,,
